date,weather,temp,wind
2020年1月1日,阴/阴,10℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年1月2日,多云/多云,12℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年1月3日,多云/多云,13℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年1月4日,阴/多云,11℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年1月5日,阴/阴,10℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年1月6日,小雨/多云,10℃/4℃,无持续风向1-2级/无持续风向1-2级
2020年1月7日,多云/多云,12℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年1月8日,阴/阴,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月9日,阴/小雨,9℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月10日,阴/多云,8℃/3℃,无持续风向1-2级/无持续风向1-2级
2020年1月11日,晴/多云,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月12日,阴/阴,11℃/3℃,无持续风向1-2级/无持续风向1-2级
2020年1月13日,阴/阴,9℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年1月14日,阴/阴,8℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月15日,小雨/多云,8℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月16日,阴/阴,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月17日,阴/小雨,8℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月18日,小雨/多云,7℃/4℃,无持续风向1-2级/无持续风向1-2级
2020年1月19日,阴/多云,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月20日,阴/多云,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月21日,阴/多云,10℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年1月22日,阴/小雨,11℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年1月23日,阴/小雨,12℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年1月24日,小雨/阴,10℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年1月25日,多云/阴,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月26日,阴/阴,8℃/4℃,无持续风向1-2级/无持续风向1-2级
2020年1月27日,小雨/小雨,7℃/4℃,无持续风向1-2级/无持续风向1-2级
2020年1月28日,小雨/多云,8℃/4℃,无持续风向1-2级/无持续风向1-2级
2020年1月29日,阴/多云,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月30日,阴/小雨,10℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年1月31日,小雨/小雨,8℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年2月1日,阴/小雨,9℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年2月2日,小雨/阴,11℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年2月3日,晴/晴,12℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年2月4日,阴/小雨,11℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年2月5日,小雨/小雨,9℃/6℃,无持续风向1-2级/无持续风向1-2级
2020年2月6日,多云/阴,12℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年2月7日,小雨/小雨,10℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年2月8日,阴/多云,11℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年2月9日,多云/多云,14℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年2月10日,多云/阴,13℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年2月11日,多云/多云,15℃/8℃,无持续风向1-2级/无持续风向1-2级
2020年2月12日,阴/多云,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年2月13日,多云/小雨,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年2月14日,阴/小雨,15℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年2月15日,阴/多云,9℃/2℃,无持续风向1-2级/无持续风向1-2级
2020年2月16日,晴/晴,12℃/2℃,无持续风向1-2级/无持续风向1-2级
2020年2月17日,多云/晴,12℃/3℃,无持续风向1-2级/无持续风向1-2级
2020年2月18日,阴/多云,11℃/4℃,无持续风向1-2级/无持续风向1-2级
2020年2月19日,晴/阴,13℃/5℃,无持续风向1-2级/无持续风向1-2级
2020年2月20日,阴/多云,13℃/7℃,无持续风向1-2级/无持续风向1-2级
2020年2月21日,多云/多云,15℃/8℃,无持续风向1-2级/无持续风向1-2级
2020年2月22日,多云/阴,14℃/8℃,无持续风向1-2级/无持续风向1-2级
2020年2月23日,多云/多云,15℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年2月24日,晴/晴,17℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年2月25日,多云/阴,18℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年2月26日,多云/阴,19℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年2月27日,多云/阴,17℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年2月28日,小雨/多云,19℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年2月29日,多云/多云,20℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年3月1日,阴/小雨,17℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年3月2日,小雨/小雨,12℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年3月3日,小雨/小雨,16℃/8℃,无持续风向1-2级/无持续风向1-2级
2020年3月4日,多云/小雨,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年3月5日,小雨/小雨,15℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年3月6日,多云/小雨,16℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年3月7日,多云/阴,19℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年3月8日,阴/阴,18℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年3月9日,多云/多云,17℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年3月10日,多云/小雨,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年3月11日,阴/多云,15℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年3月12日,阴/多云,18℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年3月13日,多云/多云,19℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年3月14日,多云/多云,18℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年3月15日,阴/小雨,16℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年3月16日,小雨/阵雨,14℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年3月17日,多云/晴,22℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年3月18日,多云/多云,22℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年3月19日,晴/多云,25℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年3月20日,晴/多云,25℃/14℃,无持续风向1-2级/无持续风向1-2级
2020年3月21日,多云/阴,26℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年3月22日,多云/晴,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年3月23日,阴/多云,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年3月24日,阵雨/阴,23℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年3月25日,多云/阴,25℃/16℃,无持续风向1-2级/无持续风向1-2级
2020年3月26日,小雨/小雨,21℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年3月27日,小雨/阴,18℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年3月28日,阴/小雨,12℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年3月29日,多云/阴,14℃/8℃,无持续风向1-2级/无持续风向1-2级
2020年3月30日,阴/多云,14℃/8℃,无持续风向1-2级/无持续风向1-2级
2020年3月31日,多云/阴,21℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年4月1日,阴/小雨,18℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年4月2日,阴/小雨,14℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月3日,小雨/小雨,13℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月4日,阴/小雨,14℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月5日,阴/阴,16℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月6日,阴/多云,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月7日,阴/多云,19℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年4月8日,多云/晴,24℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年4月9日,多云/小雨,24℃/14℃,无持续风向1-2级/无持续风向1-2级
2020年4月10日,阴/小雨,23℃/13℃,无持续风向1-2级/无持续风向1-2级
2020年4月11日,阴/晴,22℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月12日,阴/小雨,22℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年4月13日,小雨/晴,17℃/11℃,无持续风向1-2级/无持续风向1-2级
2020年4月14日,多云/多云,21℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年4月15日,多云/多云,25℃/14℃,无持续风向1-2级/无持续风向1-2级
2020年4月16日,阴/阴,27℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年4月17日,阴/多云,25℃/14℃,无持续风向1-2级/无持续风向1-2级
2020年4月18日,多云/多云,23℃/14℃,无持续风向1-2级/无持续风向1-2级
2020年4月19日,阴/小雨,22℃/14℃,无持续风向1-2级/无持续风向1-2级
2020年4月20日,阴/阴,21℃/13℃,无持续风向1-2级/无持续风向1-2级
2020年4月21日,阴/阴,17℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月22日,阴/小雨,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年4月23日,阴/阴,16℃/9℃,无持续风向1-2级/无持续风向1-2级
2020年4月24日,多云/阴,23℃/10℃,无持续风向1-2级/无持续风向1-2级
2020年4月25日,多云/多云,23℃/12℃,无持续风向1-2级/无持续风向1-2级
2020年4月26日,多云/晴,28℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年4月27日,晴/晴,31℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年4月28日,晴/阴,30℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年4月29日,阴/阴,28℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年4月30日,多云/多云,30℃/18℃,无持续风向1-2级/无持续风向1-2级
2020年5月1日,多云/晴,31℃/18℃,无持续风向1-2级/无持续风向1-2级
2020年5月2日,晴/晴,34℃/19℃,无持续风向1-2级/无持续风向1-2级
2020年5月3日,多云/阴,34℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年5月4日,多云/多云,31℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年5月5日,多云/阴,31℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年5月6日,多云/小雨,29℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年5月7日,中雨/阴,27℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年5月8日,阴/阴,26℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年5月9日,多云/多云,24℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年5月10日,多云/小雨,28℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年5月11日,多云/阴,27℃/16℃,无持续风向1-2级/无持续风向1-2级
2020年5月12日,阴/多云,26℃/14℃,无持续风向1-2级/无持续风向1-2级
2020年5月13日,多云/小雨,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年5月14日,多云/多云,28℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年5月15日,多云/小雨,30℃/19℃,无持续风向1-2级/无持续风向1-2级
2020年5月16日,多云/多云,30℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年5月17日,晴/晴,34℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年5月18日,多云/多云,34℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年5月19日,多云/小雨,32℃/19℃,无持续风向1-2级/无持续风向1-2级
2020年5月20日,多云/小雨,29℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年5月21日,小雨/阴,25℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年5月22日,阴/阴,31℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年5月23日,多云/小雨,32℃/19℃,无持续风向1-2级/无持续风向1-2级
2020年5月24日,小雨/小雨,20℃/16℃,东北风3-4级/东北风3-4级
2020年5月25日,阴/多云,25℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年5月26日,阴/小雨,26℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年5月27日,阴/阴,23℃/16℃,无持续风向1-2级/无持续风向1-2级
2020年5月28日,多云/多云,25℃/15℃,无持续风向1-2级/无持续风向1-2级
2020年5月29日,晴/晴,30℃/17℃,无持续风向1-2级/无持续风向1-2级
2020年5月30日,多云/阴,30℃/19℃,无持续风向1-2级/无持续风向1-2级
2020年5月31日,多云/晴,30℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年6月1日,阵雨/阵雨,28℃/18℃,无持续风向1-2级/无持续风向1-2级
2020年6月2日,多云/多云,25℃/18℃,无持续风向1-2级/无持续风向1-2级
2020年6月3日,多云/多云,29℃/18℃,无持续风向1-2级/无持续风向1-2级
2020年6月4日,多云/多云,30℃/19℃,无持续风向1-2级/无持续风向1-2级
2020年6月5日,多云/阴,33℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年6月6日,阴/阵雨,31℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年6月7日,阵雨/阵雨,29℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年6月8日,阵雨/阴,25℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年6月9日,多云/多云,31℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年6月10日,多云/阴,29℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年6月11日,阴/多云,29℃/22℃,无持续风向1-2级/无持续风向1-2级
2020年6月12日,阴/阴,31℃/23℃,无持续风向1-2级/无持续风向1-2级
2020年6月13日,阵雨/多云,31℃/23℃,无持续风向1-2级/无持续风向1-2级
2020年6月14日,多云/多云,32℃/22℃,无持续风向1-2级/无持续风向1-2级
2020年6月15日,多云/大雨,31℃/22℃,无持续风向1-2级/无持续风向1-2级
2020年6月16日,小雨/大雨,29℃/20℃,无持续风向1-2级/无持续风向1-2级
2020年6月17日,小雨/多云,27℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年6月18日,多云/多云,31℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年6月19日,多云/阴,30℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年6月20日,阵雨/阴,28℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年6月21日,阵雨/阵雨,28℃/21℃,无持续风向1-2级/无持续风向1-2级
2020年6月22日,阵雨/阴,28℃/22℃,无持续风向1-2级/无持续风向1-2级
2020年6月23日,阵雨/多云,31℃/22℃,无持续风向1-2级/无持续风向1-2级
2020年6月24日,晴/晴,33℃/23℃,无持续风向1-2级/无持续风向1-2级
